,Live Data Exchange
,As of 2026-08-10 11:17:22 Pacific Standard Time/PST • Generated by Keith Boone • Sorted by Organization Name (Ascending)
,Filtered By
,Show: All organizations
,Organization Record Type equals IIS
,Organization ID not equal to 0015f000010meVq
,Organization Name,Organization Name,SME Name,IIS Vendor,List of Live IIS to IIS Data Exchange,TOTAL # of IIS to IIS Connections,List of Live Pro to IIS Data Exchange,TOTAL # of Provider to IIS Connections
,District of Columbia,District of Columbia,Crystal Edwards,STChealth,"Washington, West Virginia, Wyoming, Indiana, Louisiana, Ohio, Tennessee, Delaware, Maryland, Alaska, Arizona, Mississippi, Puerto Rico, South Dakota, Virginia, Kentucky, New York City - New York State, Pennsylvania, Pennsylvania - Philadelphia, Virgin Isl",20,"Department of Defense (DOD), Mayo Clinic, RIISE, Veterans Administration (VistA)",4
,Florida,Florida,Chantel Hartman,Awardee Developed - FL SHOTS,"New York City - New York State, New Jersey, Virgin Islands U.S., Connecticut, Rhode Island, Illinois, Utah, Michigan, Alabama, Indiana, Kentucky, Mississippi, Missouri, Ohio, Tennessee",15,"Department of Defense (DOD), RIISE, Veterans Administration (VistA)",3
,Georgia,Georgia,Chantel Hartman,Gainwell Technologies,,,Veterans Administration (VistA),1
,Guam - PI,Guam - PI,Natalie Johns,Envision Technology Partners,"Micronesia - PI, N. Mariana Islands - PI, Marshall Islands - PI, Palau - PI, American Samoa - PI",5
,Hawaii,Hawaii,Natalie Johns,Envision Technology Partners
,Houston - Texas,Houston - Texas,Tristi Bond,Deloitte,,,"Department of Defense (DOD), Veterans Administration (VistA)",2
,Idaho,Idaho,Jennifer Ratliff,Gainwell Technologies,,,"RIISE, Veterans Administration (Oracle Health), Veterans Administration (VistA)",3
,Illinois,Illinois,Amee DeMartino,Awardee Developed - IL I-CARE,"Michigan, Rhode Island, Pennsylvania - Philadelphia, Florida, New Jersey, Utah, Indiana, Mississippi, Ohio, Tennessee, Puerto Rico, Maryland, Arizona, Virgin Islands U.S., Wisconsin, Connecticut, New Mexico",17,"RIISE, Veterans Administration (Oracle Health), Veterans Administration (VistA)",3
,Indiana,Indiana,Amee DeMartino,STChealth,"Washington, Puerto Rico, West Virginia, District of Columbia, Wyoming, Arizona, Ohio, Tennessee, Louisiana, Alaska, Mississippi, South Dakota, Florida, Illinois, Kentucky, Michigan, Missouri, Virginia",18,"Mayo Clinic, RIISE, Veterans Administration (Oracle Health), Veterans Administration (VistA)",4
,Iowa,Iowa,Trenetria Manglona Steele,Gainwell Technologies,,,Veterans Administration (VistA),1
,Kansas,Kansas,Trenetria Manglona Steele,Envision Technology Partners,"Oklahoma, Arkansas, Connecticut, New Mexico, Nevada, Kentucky, Colorado, Missouri, Pennsylvania",9,"VAMS, Veterans Administration (VistA)",2
,Kentucky,Kentucky,Chantel Hartman,Envision Technology Partners,"Tennessee, Delaware, New Jersey, Oklahoma, Arkansas, Nevada, Michigan, New Mexico, Connecticut, Missouri, Rhode Island, Kansas, Pennsylvania, Florida, Indiana, Mississippi, Ohio, District of Columbia, Maryland, New York City - New York State, Puerto Rico,",25,"RIISE, Veterans Administration (Oracle Health), Veterans Administration (VistA)",3
,LA County - California,LA County - California,Jan Hicks-Thomson,Gainwell Technologies,,,"Department of Defense (DOD), RIISE, Veterans Administration (VistA)",3
